Action,Name,Points,GameMode,Timestamp
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2026-02-26 13:29:56.258
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2026-02-26 13:30:16.899
AddTestsAchievement,Safety First,1,LEADERBOARD,2026-02-26 13:30:33.84
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2026-02-26 13:31:08.381
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2026-02-26 13:31:32.783
AddTestsAchievement,Safety First,1,LEADERBOARD,2026-02-26 13:31:32.785
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2026-02-26 13:32:29.679
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2026-02-26 13:32:29.744
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2026-02-26 13:50:10.917
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2026-02-26 13:50:11.322
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2026-02-26 13:50:23.208
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2026-02-26 13:50:36.734
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2026-02-26 13:50:37.248
